id	question	doc-id-list	answers
1505486656122816266	where was the great gatsby with leonardo dicaprio filmed	819123762_12563-13251	"The director instead opted to shoot principal photography in Sydney. The `` Valley of Ashes "", the desolate land located between West Egg and New York was shot in Balmain, New South Wales.::The director instead opted to shoot principal photography in Sydney. The `` Valley of Ashes "", the desolate land located between West Egg and New York, was shot in Balmain, New South Wales and Manly Business School in Manly -- known as Saint Patrick's Seminary -- doubled as Gatsby's mansion.  Nick's house was located in Centennial Park."
7231443740269489114	when was st paul's in london built	800674368_11712-12214	The ``topping out'' of the cathedral (when the final stone was placed on the lantern) took place on 26 October 1708. Construction continued for several years after that, with the statues on the roof added in the 1720s.
-5133628740792713994	what is the song wouldnt it be nice about	865317874_3379-4586	Wilson described the song as ``what children everywhere go through... wouldn't it be nice if we were older, or could run away and get married. It expresses the frustrations of youth, what you can't have, what you really want and you have to wait for it.''
-6701435601490315596	how many types of lemurs are there in madagascar	850120546_180-1300	Lemurs are strepsirrhine primates , all species of which are endemic to Madagascar . As of 2010 , five families , 15 genera , and 101 species and subspecies of lemur were formally recognized . By 2014 , the number of species and subspecies recognized had increased to 113.
-8346119527388758865	where did the pony express route begin and end	807377115_8210-9461	Pony Express started at St. Joseph, Missouri on the Missouri River. From Salt Lake City it generally followed the Central Nevada Route, and it arrives in Sacramento.::The Pony Express started at St. Joseph, Missouri on the Missouri River and ended in Sacramento.
-3081753292173314082	when does ghar titli ka par come on	854762662_637-1020	Ghar Titli Ka Par is a 2017 Pakistani drama serial, and was first aired 28 December on Geo Entertainment, where it aired every Thursday at 8 : 00 P.M.::It aired every Thursday at 8:00 P.M.
404731369252436306	who wrote the song when the saints go marching in	833202467_944-1949	"The origins of ""When the Saints Go Marching In"" song are unclear. No author is shown on the label.::The origins of the song ""When the Saints Go Marching In"" are unclear and no author is mentioned on the label."
-3267717105755108563	what is the si unit of magnetic field	856181404_37024-37480	The SI unit of magnetic moment is A ⋅ m, the SI unit of magnetization M, the magnetization vector field, is ampere per meter, identical to that of the H - field.
-4138078544948263349	who played the lone ranger on the greatest american hero	844460460_4110-4993	John Hart played the lone ranger in an episode of The Greatest American Hero.
8048522585381607401	what was the purpose of the civil rights act of 1991	818818268_645-1235	"The Civil Rights Act of 1991 was passed in response to United States Supreme Court decisions that limited the rights of employees who sued their employers for discrimination.
The law  provided the right to trial by jury on discrimination claims, introduced the possibility of emotional distress damages and limited the amount that a jury could award ."
1773549058744658442	what does it mean to refinance a building	859580875_36-566	Refinancing is the replacement of an existing debt obligation with another debt obligation under different terms. In many industrialized nations, a common form of refinancing is for a place of primary residency mortgage.
-2681885798259725675	what is the function of antidiuretic hormone (adh)	845553331_5202-5927	Vasopressin, also named antidiuretic hormone (ADH), arginine vasopressin (AVP) or argipressin. AVP has two primary functions: First, it increases the amount of solute - free water reabsorbed back into the circulation from the filtrate in the kidney tubules of the nephrons. Second, AVP constricts arterioles, which increases peripheral vascular resistance and raises arterial blood pressure.::The antidiuretic hormones' two primary functions are increasing the amount of solute - free water reabsorbed back into the circulation from the filtrate in the kidney tubules of the nephrons, and constricting arterioles, which increases peripheral vascular resistance and raises arterial blood pressure.
4311379768849814379	what were the two sides of the war of 1812	866047186_5320-6216	Britain and America were two sides of the war of 1812.
7988329761675910071	function of the jejunum in the digestive system	835139938_3282-3727	"The lining of the jejunum is specialized for the absorption, by enterocytes, of small nutrient particles which have been previously digested by enzymes in the duodenum.   The jejunum is involved in magnesium absorption.::The lining of the jejunum is specialized for the absorption of small nutrient particles.
Once absorbed , nutrients pass from the enterocytes into the enterohepatic circulation and enter the liver via the hepatic portal vein , where the blood is processed . The jejunum is also involved in the magnesium absorption ."
847723125579808866	where did the pittsburgh pirates get their name	797856880_2551-3407	"The  Alleghenys picked up second baseman Lou Bierbauer from the AA's Philadelphia Athletics, whom they had failed to include on their reserve list.
The Athletics  claimed that this action was `` piratical '' . The Alleghenys subsequently renamed themselves the Pirates for the 1891 season."
82385993877337955	when was the first atom bomb dropped on japan by us	817787595_2060-2501	During the final stage of World War II , the United States dropped nuclear weapons on the Japanese cities on August 6 and 9 , 1945,  and remain the only use of nuclear weapons in the history of warfare.::The first of the two nuclear weapon bombings the United States dropped on Japan was during the final stage of World War II on August 6th, 1945.
5107688407324157941	brief definition of copyright law and what it protects	817602002_2962-3415	Copyright is a legal right created by the law of a country that grants the creator of an original work exclusive rights for its use and distribution, and protects only the original expression of ideas, not the underlying ideas themselves.
-9144238222528625698	communist guerrilla forces that fought for the national liberation front (nlf) were called the	848040418_2072-4135	The National Liberation Front of South Vietnam was a mass political organization in South Vietnam and Cambodia with its own army -- the People 's Liberation Armed Forces of South Vietnam, including both guerrilla and regular army units.::The National Liberation Front of South Vietnam was a mass political organization in South Vietnam and Cambodia with its own army -- the People 's Liberation Armed Forces of South Vietnam, including both guerrilla and regular army units fought against the United States and South Vietnamese governments during the Vietnam War , eventually emerging on the winning side .
4795064992348115658	what event caused the united states to declare war and enter world war ii	845154424_219-742	Four days after the Japanese attack on Pearl Harbor and the United States declaration of war against the Japanese Empire , Nazi Germany declared war against the United States, which caused the United States to declare war on Germany later that day.
-3485714005907152096	when did oklahoma become a state what does the word oklahoma mean	835677559_2304-3271	"Oklahoma's name is derived from the Choctaw words okla and humma , meaning ``red people,"" and it became a state on November 16, 1907."
-2054628228468316263	how many teams make the playoff in mlb	863569586_364-1432	In Major League Baseball, the wild card teams are the two teams in each of the two leagues that have qualified for the postseason.
2787811968687221049	what do the lyrics for american pie mean	854591596_1683-2306	"The phrase in American Pie, ""the day the music died,"" refers to the plane crash in 1959 which killed early rock and roll performers Buddy Holly, The Big Bopper, and Ritchie Valens. Mclean declined to explain the symbolism behind the many characters and events mentioned in lyrics. However, the overall theme of the song is the loss of innocence of the early rock and roll generation as symbolized by the plane crash which claimed the lives of three of its heroes.::The phrase ""the day the music died"" in the American Pie song refers to the 1959 plane crash, in which rock and roll performers Buddy Holly, The Big Bopper, and Ritchie Valens died. The loss of the early rock and roll generation had been the overall theme of the song as well."
6439237669287005775	why is the blue lake blue in mt gambier	849302793_2978-4004	The exact cause of this phenomenon is still a matter of conjecture, but it is generally considered likely that it revolves around the warming of the surface layers of the lake during the summer months to around 20 ° C, causing calcium carbonate to precipitate out of the solution and enabling micro-crystallites of calcium carbonate to form. This results in scatter of the blue wavelengths of sunlight. The movement of planktonic life-forms within the lake during the seasons and during the day may additionally play a part in the colour change.::The exact cause of the lake turning to a vibrant cobalt blue colour and retuning to a colder steel grey colour is still a matter of conjecture, but it is generally considered likely that it revolves around the warming of the surface layers of the lake during the summer months to around 20 ° C, causing calcium carbonate to precipitate out of the solution and enabling micro-crystallites of calcium carbonate to form. This results in scatter of the blue wavelengths of sunlight. The movement of planktonic life-forms within the lake during the seasons and during the day may additionally play a part in the colour change.
-272699795805920544	what is c moon about by paul mccartney	833912035_1144-1609	"McCartney said, ""the idea of putting a C and a moon together (a half - moon) to get the opposite of a square, so ' C Moon ' means cool, in other words. ''"
-434284248695810364	where is ben and jerry's ice cream located	816044701_563-1019	Ben and Jerry's was founded in 1978 in Burlington , Vermont , and sold in 2000 to Anglo - Dutch conglomerate Unilever .  Its present - day headquarters is in South Burlington , Vermont , with its main factory in Waterbury , Vermont .::It operates globally, and its present - day headquarters is in South Burlington, Vermont, with its main factory in Waterbury, Vermont.
-7644289541271486372	what happened to opies mother on andy griffith	788520890_8359-9038	Andy lost Opie 's mother when the boy was `` the least little speck of a baby. ''::Opie 's mother is non-existent on the show. In the backdoor pilot episode from The Danny Thomas Show , viewers learn Andy lost Opie 's mother when the boy was `` the least little speck of a baby . ''
3026174202827908652	who is winner of bigboss season 5 kannada	837553161_702-1113	Bigg Boss Kannada 5 ( BBK5 ) was the fifth season of the Kannada television series Bigg Boss Kannada and rapper Chandan Shetty was declared the winner of the show.::The rapper Chandan Shetty was declared the winner of the show.
7692212667654595924	who is running for us senate in fl	857098169_3683-4460	Incumbent Democratic Senator Bill Nelson is being challenged by term-limited Governor Rick Scott.
5496687065691512443	how can i play xbox games on xbox 360	806896567_3316-3848	Each game requires an emulation profile to run.  These profiles are downloaded from Xbox Live, or are downloaded manually from Xbox.com and burned on CD or DVD recordable media, or downloaded as a single bundle, thus only needing to be applied once per update if doing so offline, or are automatically downloaded the first time a compatible game is inserted.
8604745961754280555	st segment elevation myocardial infarction signs and symptoms	835175003_1133-1969	The most common symptoms of  a  Myocardial infarction are chest pain or discomfort which may travel into the shoulder , arm , back , neck , or jaw . Other signs may include shortness of breath , nausea , feeling faint , a cold sweat , or feeling tired .::The most common symptoms of a Myocardial infarction are chest pain or discomfort which may travel into the shoulder, arm, back, neck, or jaw.   Often it occurs in the center or left side of the chest and lasts for more than a few minutes, occasionally feel like heartburn.  Other signs may include shortness of breath, nausea, feeling faint, a cold sweat, or feeling tired.
-250120508191745769	pelvic inflammatory disease inflammation of the female upper reproductive tract is caused by	801812102_1327-2212	The disease is often caused by multiple, different bacteria that spread from the vagina and cervix .::The disease is often caused by multiple different bacteria that spread from the vagina and cervix.  Infections by Neisseria gonorrhoeae or Chlamydia trachomatis are present in 75 to 90 percent of cases.
-2140282230594159335	who can show standing to bring an issue to the court's attention	815615503_2070-2696	In the United States , the current doctrine is that a person can not bring a suit challenging the constitutionality of a law unless the plaintiff can demonstrate that he / she / it is or will `` imminently '' be harmed by the law .::In the United States, a person can bring a suit challenging the constitutionality of a law if the plaintiff can demonstrate that he / she / it is or will `` imminently '' be harmed by the law.
5201214711968395820	what is the meaning of the 4 horsemen of the apocalypse	845979980_1626-2209	Four Horsemen of the Apocalypse are often seen as symbolizing Conquest or Pestilence (and less frequently, the Christ or the Antichrist), War, Famine, and Death. The Christian apocalyptic vision is that the Four Horsemen are to set a divine apocalypse upon the world as harbingers of the Last Judgment. They are also a symbolic prophecy of the subsequent history of the Empire::Four Horsemen of the Apocalypse are often seen as symbolizing Conquest or Pestilence (and less frequently, the Christ or the Antichrist), War, Famine, and Death. The Christian apocalyptic vision is that the Four Horsemen are to set a divine apocalypse upon the world as harbingers of the Last Judgment. They are also a symbolic prophecy of the subsequent history of the Roman Empire.
6498449454399036323	who wrote and sang make the world go away	804269523_711-1110	`` Make the World Go Away ' '' is a country - popular music song composed by Hank Cochran and first recorded by Ray Price.
8844782926219157575	what does the word stay mean in legal terms	836048634_332-688	A stay of proceedings is a ruling by the court in civil and criminal procedure, halting further legal process in a trial or other legal proceeding. However, a stay is sometimes used as a device to postpone proceedings indefinitely.::A stay of proceedings is a ruling by the court in civil and criminal procedure, halting further legal process in a trial or other legal proceeding.  A stay is sometimes used as a device to postpone proceedings indefinitely.
242454852578365818	where is the kuiper belt and what is found in it	844145335_788-1644	The Kuiper belt is a circumstellar disc in the outer Solar System extending from the orbit of Neptune (at 30 AU) to approximately 50 AU from the Sun.  It consists mainly of small bodies or remnants from when the Solar System formed.  Most Kuiper belt objects are composed largely of frozen volatiles (termed ``ices''), such as methane, ammonia and water.
-5013142244634176426	what does it mean to be baptized christian	834252717_28988-30388	The liturgy of baptism for Catholics , Eastern Orthodox , Lutheran , Anglican , and Methodist makes clear reference to baptism as not only a symbolic burial and resurrection , but an actual supernatural transformation , one that draws parallels to the experience of Noah and the passage of the Israelites through the Red Sea divided by Moses . Thus , baptism is literally and symbolically not only cleansing , but also dying and rising again with Christ . Catholics believe that baptism is necessary for the cleansing of the taint of original sin , and for that reason infant baptism is a common practice . Anglicans believe that Baptism is also the entry into the Church and therefore allows them access to all rights and responsibilities as full members , including the privilege to receive Holy Communion . Most Methodists and Anglicans agree that it also cleanses the taint of what in the West is called original sin , in the East ancestral sin .::Baptism is literally and symbolically not only cleansing, but also dying and rising again with Christ. Catholics believe that baptism is necessary for the cleansing of the taint of original sin. The Eastern Churches baptize infants which is interpreted as supporting full Church membership. Anglicans believe that Baptism is also the entry into the Church and therefore allows them access to all rights and responsibilities as full members, including the privilege to receive Holy Communion. Most Methodists and Anglicans agree that it also cleanses the taint of what in the West is called original sin.
8205961596022335142	where is glycogen stored in the human body	845103004_950-1968	In humans , glycogen is made and stored primarily in the cells of the liver and skeletal muscle . Small amounts of glycogen are also found in other tissues and cells , including the kidneys , red blood cells , white blood cells , and glial cells in the brain . The uterus also stores glycogen during pregnancy to nourish the embryo .
-8875555773738392052	why does the hawaiian flag have a union jack	849397545_1963-3061	King Kamehameha I flew a British flag, probably a Red Ensign, given to him by British explorer Captain George Vancouver as a token of friendship with King George III. While disputed as historically accurate, one account stated that in order to placate U.S. interests during the War of 1812, a flag of the U.S. was raised over Kamehameha's home, only to be removed when British officers in the court of Kamehameha vehemently objected to it. This explains why the resulting flag of Hawaii was a deliberate hybrid of the two nations' flags.
-8550007167299509924	where did the term public house come from	856590600_2680-3700	After the departure of Roman authority in the 5th Century and the fall of the Romano - British kingdoms , the Anglo - Saxons established alehouses that grew out of domestic dwellings . These alehouses quickly evolved into meeting houses for the folk to socially congregate , gossip and arrange mutual help within their communities . Herein lies the origin of the modern public house , or `` pub '' as it is colloquially called in England .
8964684602022882787	how much damage did the attack on pearl harbor do	799491879_3904-4978	"All eight U.S. Navy battleships were damaged, with four sunk.
The Japanese also sank or damaged three cruisers, three destroyers, an anti-aircraft training ship, and one minelayer.
One hundred eighty-eight U.S. aircraft were destroyed; 2,403 Americans were killed and 1,178 others were wounded.::During the attack on Pearl Harbor, the base was attacked by 353 Imperial Japanese aircraft. All eight U.S. Navy battleships were damaged , with four sunk. The Japanese also sank or damaged three cruisers , three destroyers , an anti-aircraft training ship , and one minelayer.  One hundred eighty - eight U.S. aircraft were destroyed ; 2,403 Americans were killed and 1,178 others were wounded. On the Japanese side, 29 aircraft and five midget submarines were lost , and 64 servicemen were killed ."
3264133186293542014	why gupta period is called as golden age	816202583_2393-3415	The high points of this period are the great cultural developments which took place during the reign of Chandragupta II . All literary sources , such as Mahabharata and Ramayana , were canonised during this period . Science and political administration reached new heights during the Gupta era . The period gave rise to achievements in architecture , sculpture , and painting that `` set standards of form and taste ( that ) determined the whole subsequent course of art , not only in India but far beyond her borders '' . Strong trade ties also made the region an important cultural center and established the region as a base that would influence nearby kingdoms and regions in Burma , Sri Lanka , and Southeast Asia . The Puranas , earlier long poems on a variety of subjects , are also thought to have been committed to written texts around this period .::The high points of this period are the great cultural developments. All literary sources were canonized during this period. Science and political administration reached new heights during the Gupta era. The period gave rise to achievements in architecture, sculpture, and painting that ``set standards of form and taste (that) determined the whole subsequent course of art''. Strong trade ties also made the region an important cultural center. The Puranas, earlier long poems on a variety of subjects, are also thought to have been committed to written texts around this period.
4844793349388632716	how many presidents of the united states were catholic	845822797_393-1378	Almost all of the presidents can be characterized as Christian , at least by upbringing , though some were unaffiliated with any specific religious body . There have been four Nontrinitarian presidents , and a single Roman Catholic president ( John F. Kennedy ) .
961121295877182706	who sang what in we are the world	865654665_14758-15928	``We Are the World'' opens with Lionel Richie, Stevie Wonder, Paul Simon, Kenny Rogers, James Ingram, Tina Turner and Billy Joel singing the first verse. Michael Jackson and Diana Ross follow, completing the first chorus together. Dionne Warwick, Willie Nelson, and Al Jarreau sing the second verse, before Bruce Springsteen, Kenny Loggins, Steve Perry and Daryl Hall go through the second chorus. Co-writer Jackson, Huey Lewis, Cyndi Lauper, and Kim Carnes follow with the song's bridge. ``We Are the World'' concludes with Bob Dylan and Ray Charles singing a full chorus, Wonder and Springsteen duetting, and ad libs from Charles and Ingram.
-4157047109461300160	what's the speed limit in the usa	846008577_882-2181	The highest posted speed limit in the entire country can be found on the Texas State Highway 130, and it is 85 mph. Unusual  speed limits are 40 mph in Wake Island, and 15 mph in Midway Atoll .::The highest speed limits are generally 70 mph on the West Coast and the inland eastern states, 75 -- 80 mph in inland western states, along with Arkansas and Louisiana, and 65 -- 70 mph on the Eastern Seaboard, with particular variations to particular region such as 85 mph, the highest posted speed limit in the entire country found on the Texas State Highway 130, 40 mph in Wake Island, and 15 mph in Midway Atoll.
1766248437859792616	what happened to ellie walker on the andy griffith show	793461247_3634-5307	After twelve appearances in the first season, Ellie disappeared with no explanation offered the audience. Over the years Donahue offered multiple explanations for her departure from the show.  A more credible story that Donahue relayed was that she was undergoing personal problems during her year on the show and simply lacked confidence in the quality of her performance. She asked the producers to release her from her contract, which they did.
-7942649584345013727	what saturday night live actor was killed by his wife	865468816_2283-3032	Phil Hartman had been divorced twice before he married Brynn Omdahl in 1987.  On May 28 , 1998 , Brynn Hartman shot and killed Hartman while he slept in their Encino , Los Angeles home , then killed herself several hours later .
575765792535746925	why is natural selection considered to be the mechanism for evolution	866491074_3672-4818	Darwin described natural selection as analogous to artificial selection, a process by which animals and plants with traits considered desirable by human breeders are systematically favoured for reproduction.  While genotypes can slowly change by random genetic drift, natural selection remains the primary explanation for adaptive evolution.
8648855614009242068	how big was britain's army in ww1	846130149_1267-2505	During World War I, there were three distinct British Armies. The ``first'' army was the small volunteer force of 400,000 soldiers. The 'second' army was Kitchener's Army, formed from the volunteers. The 'third' was formed after the introduction of conscription in January 1916, and by the end of 1918, the British Army had reached its maximum strength of 3,820,000 men and could field over 70 divisions.
6070274452779994311	who is the president of north korea and how old is he	802055412_2710-3398	Kim Jong - un (born 8 January 1982 -- 84 or 5 July 1984 ) is the Chairman of the Workers ' Party of Korea ( WPK ) and supreme leader of North Korea since 2011 .
8272337307087314539	what color is the charger in dirty mary crazy larry	787879411_10068-11157	There is the assumption that film developers thought the Dodge Charger was actually bright yellow and so ``corrected'' the film negatives to eliminate the greenish tint on the car.  The color was more correct in the 2005 DVD release and the Dodge Charger became the correct lime green color. A newer image of apparently one of the actual (unrestored) movie cars spotted in a backyard confirms the color to be lime green and not yellow or ``curious yellow'' .
8451942243871002242	what type of soil do christmas trees grow in	797038770_4145-5102	Pine trees are usually better adapted to a sandy or sandy loam soil, while white spruce trees and fir trees, such as the Douglas fir, prefer fine texture loams and clay loam soils. The land must be well drained for a Christmas tree farm to have a chance of thriving. If the necessary elements are not available in the local soil, nutritious fertilizers are used.
-1173905452542063462	what happened to the lead singer of three days grace	845917519_13033-13581	On January 9, 2013, Three Days Grace announced that Gontier, a lead singer, had left the band abruptly.  Gontier explained that he was simply ready to start a new chapter in his life, stating, `` After twenty years of being part of an ever evolving band, I have been inspired by life, to move on and to continue to evolve on my own terms.''
7719269328879803697	why did the girl on desperate housewives kill herself	848175253_10293-12225	Todd and Angela Forrest could not conceive and one night a woman named Deirdre Taylor came to their house looking for money and offered to sell her son Dana to them.  They moved to Fairview, changing their names to Paul, Mary Alice and Zach Young.  Deirdre came to their home demanding that she reclaim her son.  After a verbal fight, Deirdre went to take her child, when Mary Alice stabbed and killed her.  Zach woke up and saw the body, which was buried under their pool.   Years later, Martha recognized Mary Alice and then blackmailed her and she, in desperation, committed suicide.
6836266352185877713	what does the amount of amniotic fluid mean	796962074_5644-6463	Too little amniotic fluid ( oligohydramnios ) can be a cause or an indicator of problems for the mother and baby . Babies with too little amniotic fluid can develop contractures of the limbs , clubbing of the feet and hands , and also develop a life - threatening condition called hypoplastic lungs .::Too little amniotic fluid can be an indicator of problems for the mother and baby.
-6210037447272218205	who is said to have made the us flag	851838215_6723-7662	The question can only be given speculative answers.  Any flag maker in Philadelphia could have sewn the first American flag.
-4250844002138146943	explain how small changes in developmental genes can lead to major changes in body plan	842083369_14624-16005	A small fraction of the genes in an organism's genome control the organism's development.  These genes are called the developmental - genetic toolkit.  Differences in deployment of toolkit genes affect the body plan and the number, identity, and pattern of body parts.  Together, they generate the patterns in time and space which shape the embryo, and ultimately form the body plan of the organism.
